models,topic,correct_total,correct_number,correct units,correct_formula,% of correct numbers,% of correct formula,% of correct units,,,,Problems count
moonshotai/kimi-k2.6,electrostatics,7,3,3,1,12.00%,4.00%,12.00%,,,,
moonshotai/kimi-k2.6,mechanics,5,3,2,0,12.00%,0.00%,8.00%,,,,
moonshotai/kimi-k2.6,nuclear,7,1,5,1,4.00%,4.00%,20.00%,,,,
moonshotai/kimi-k2.6,optics,3,1,2,0,4.00%,0.00%,8.00%,,,,
moonshotai/kimi-k2.6,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,mechanics,5,3,2,0,12.00%,0.00%,8.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,nuclear,7,1,5,1,4.00%,4.00%,20.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,electrostatics,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,mechanics,8,4,3,1,16.00%,4.00%,12.00%,,,,
openai/gpt-5.4-pro,nuclear,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4-pro,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-5.4,electrostatics,5,2,3,0,8.00%,0.00%,12.00%,,,,
openai/gpt-5.4,mechanics,3,1,2,0,4.00%,0.00%,8.00%,,,,
openai/gpt-5.4,nuclear,5,1,4,0,4.00%,0.00%,16.00%,,,,
openai/gpt-5.4,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4,thermodynamics,3,1,2,0,4.00%,0.00%,8.00%,,,,
openai/gpt-oss-120b,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
openai/gpt-oss-120b,mechanics,7,4,3,0,16.00%,0.00%,12.00%,,,,
openai/gpt-oss-120b,nuclear,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-oss-120b,optics,3,1,2,0,4.00%,0.00%,8.00%,,,,
openai/gpt-oss-120b,thermodynamics,7,3,4,0,12.00%,0.00%,16.00%,,,,
openai/o4-mini-high,electrostatics,6,3,3,0,12.00%,0.00%,12.00%,,,,
openai/o4-mini-high,mechanics,8,4,3,1,16.00%,4.00%,12.00%,,,,
openai/o4-mini-high,nuclear,8,2,5,1,8.00%,4.00%,20.00%,,,,
openai/o4-mini-high,optics,2,0,2,0,0.00%,0.00%,8.00%,,,,
openai/o4-mini-high,thermodynamics,7,3,4,0,12.00%,0.00%,16.00%,,,,
qwen/qwen3.5-397b-a17b,electrostatics,6,3,3,0,12.00%,0.00%,12.00%,,,,
qwen/qwen3.5-397b-a17b,mechanics,7,4,3,0,16.00%,0.00%,12.00%,,,,
qwen/qwen3.5-397b-a17b,nuclear,8,2,5,1,8.00%,4.00%,20.00%,,,,
qwen/qwen3.5-397b-a17b,optics,4,2,2,0,8.00%,0.00%,8.00%,,,,
qwen/qwen3.5-397b-a17b,thermodynamics,4,1,3,0,4.00%,0.00%,12.00%,,,,
qwen/qwen3.6-plus,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
qwen/qwen3.6-plus,mechanics,7,4,3,0,16.00%,0.00%,12.00%,,,,
qwen/qwen3.6-plus,nuclear,7,2,5,0,8.00%,0.00%,20.00%,,,,
qwen/qwen3.6-plus,optics,8,4,4,0,16.00%,0.00%,16.00%,,,,
qwen/qwen3.6-plus,thermodynamics,7,2,5,0,8.00%,0.00%,20.00%,,,,
stepfun/step-3.5-flash,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
stepfun/step-3.5-flash,mechanics,4,2,2,0,8.00%,0.00%,8.00%,,,,
stepfun/step-3.5-flash,nuclear,5,1,4,0,4.00%,0.00%,16.00%,,,,
