models,topic,correct_total,correct_number,correct units,correct_formula,% of correct numbers,% of correct formula,% of correct units,,,,Problems count
mistralai/pixtral-large-2411,thermodynamics,0,0,0,0,0.00%,0.00%,0.00%,,,,
moonshotai/kimi-k2.5,electrostatics,4,1,3,0,4.00%,0.00%,12.00%,,,,
moonshotai/kimi-k2.5,mechanics,8,3,5,0,12.00%,0.00%,20.00%,,,,
moonshotai/kimi-k2.5,nuclear,4,1,3,0,4.00%,0.00%,12.00%,,,,
moonshotai/kimi-k2.5,optics,7,3,4,0,12.00%,0.00%,16.00%,,,,
moonshotai/kimi-k2.5,thermodynamics,6,1,5,0,4.00%,0.00%,20.00%,,,,
moonshotai/kimi-k2.6,electrostatics,5,1,3,1,4.00%,4.00%,12.00%,,,,
moonshotai/kimi-k2.6,mechanics,7,3,4,0,12.00%,0.00%,16.00%,,,,
moonshotai/kimi-k2.6,nuclear,4,0,4,0,0.00%,0.00%,16.00%,,,,
moonshotai/kimi-k2.6,optics,5,3,2,0,12.00%,0.00%,8.00%,,,,
moonshotai/kimi-k2.6,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,electrostatics,4,1,3,0,4.00%,0.00%,12.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,mechanics,7,3,4,0,12.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,nuclear,4,1,3,0,4.00%,0.00%,12.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,electrostatics,5,1,4,0,4.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,mechanics,7,3,4,0,12.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,nuclear,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4-pro,optics,5,2,3,0,8.00%,0.00%,12.00%,,,,
openai/gpt-5.4-pro,thermodynamics,5,1,4,0,4.00%,0.00%,16.00%,,,,
