models,topic,correct_total,correct_number,correct units,correct_formula,% of correct numbers,% of correct formula,% of correct units,,,,Problems count
meta-llama/llama-4-maverick,mechanics,4,1,3,0,4.00%,0.00%,12.00%,,,,
meta-llama/llama-4-maverick,nuclear,7,2,5,0,8.00%,0.00%,20.00%,,,,
meta-llama/llama-4-maverick,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
meta-llama/llama-4-maverick,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
microsoft/phi-4,electrostatics,2,0,2,0,0.00%,0.00%,8.00%,,,,
microsoft/phi-4,mechanics,2,0,2,0,0.00%,0.00%,8.00%,,,,
microsoft/phi-4,nuclear,3,0,3,0,0.00%,0.00%,12.00%,,,,
microsoft/phi-4,optics,4,0,4,0,0.00%,0.00%,16.00%,,,,
microsoft/phi-4,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
mistralai/ministral-14b-2512,electrostatics,3,1,2,0,4.00%,0.00%,8.00%,,,,
mistralai/ministral-14b-2512,mechanics,4,1,3,0,4.00%,0.00%,12.00%,,,,
mistralai/ministral-14b-2512,nuclear,6,1,5,0,4.00%,0.00%,20.00%,,,,
mistralai/ministral-14b-2512,optics,2,0,2,0,0.00%,0.00%,8.00%,,,,
mistralai/ministral-14b-2512,thermodynamics,3,0,3,0,0.00%,0.00%,12.00%,,,,
mistralai/pixtral-large-2411,electrostatics,0,0,0,0,0.00%,0.00%,0.00%,,,,
mistralai/pixtral-large-2411,mechanics,0,0,0,0,0.00%,0.00%,0.00%,,,,
mistralai/pixtral-large-2411,nuclear,0,0,0,0,0.00%,0.00%,0.00%,,,,
mistralai/pixtral-large-2411,optics,0,0,0,0,0.00%,0.00%,0.00%,,,,
mistralai/pixtral-large-2411,thermodynamics,0,0,0,0,0.00%,0.00%,0.00%,,,,
moonshotai/kimi-k2.5,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
moonshotai/kimi-k2.5,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
moonshotai/kimi-k2.5,nuclear,9,3,5,1,12.00%,4.00%,20.00%,,,,
moonshotai/kimi-k2.5,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
moonshotai/kimi-k2.5,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
moonshotai/kimi-k2.6,electrostatics,5,2,3,0,8.00%,0.00%,12.00%,,,,
moonshotai/kimi-k2.6,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
moonshotai/kimi-k2.6,nuclear,7,2,5,0,8.00%,0.00%,20.00%,,,,
moonshotai/kimi-k2.6,optics,5,2,3,0,8.00%,0.00%,12.00%,,,,
moonshotai/kimi-k2.6,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,electrostatics,6,2,4,0,8.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,nuclear,6,1,5,0,4.00%,0.00%,20.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
nvidia/llama-3.3-nemotron-super-49b-v1.5,thermodynamics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4-pro,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,mechanics,5,2,3,0,8.00%,0.00%,12.00%,,,,
openai/gpt-5.4-pro,nuclear,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-5.4-pro,optics,5,2,3,0,8.00%,0.00%,12.00%,,,,
openai/gpt-5.4-pro,thermodynamics,7,3,4,0,12.00%,0.00%,16.00%,,,,
openai/gpt-5.4,electrostatics,5,2,3,0,8.00%,0.00%,12.00%,,,,
openai/gpt-5.4,mechanics,5,2,3,0,8.00%,0.00%,12.00%,,,,
